brand1,brand2,lift value,,Sum of lift value,Column Labels,,,,,,,,,,
acura,infiniti,3.374655647,,Row Labels,acura,audi,benz,bmw,honda,infiniti,lexus,nissan,toyota,volvo,Grand Total
acura,honda,3.245393635,,acura,0,2.337693798,2.097701149,1.256127451,3.245393635,3.374655647,2.324561404,2.272727273,1.879699248,2.318295739,21.10685534
acura,lexus,2.324561404,,audi,2.337693798,0,3.067361668,1.630594098,2.015893421,2.288343264,2.203182375,1.189217759,1.606487148,3.344116104,19.68288964
acura,volvo,2.318295739,,benz,2.097701149,3.067361668,0,1.999420458,2.33928262,2.3938444,3.085299456,1.692789969,3.033445683,4.355716878,24.06486228
acura,nissan,2.272727273,,bmw,1.256127451,1.630594098,1.999420458,0,1.306427093,1.595162859,1.807828395,0.988349885,1.338693372,1.42162128,13.34422489
acura,benz,2.097701149,,honda,3.245393635,2.015893421,2.33928262,1.306427093,0,2.024585739,1.930706162,3.015075377,5.780783617,2.436997015,24.09514468
acura,toyota,1.879699248,,infiniti,3.374655647,2.288343264,2.3938444,1.595162859,2.024585739,0,3.218790779,3.606311044,2.563226247,2.097185112,23.16210509
audi,volvo,3.344116104,,lexus,2.324561404,2.203182375,3.085299456,1.807828395,1.930706162,3.218790779,0,1.674641148,3.086664028,2.413929561,21.74560331
audi,benz,3.067361668,,nissan,2.272727273,1.189217759,1.692789969,0.988349885,3.015075377,3.606311044,1.674641148,0,4.613807245,1.435406699,20.4883264
audi,acura,2.337693798,,toyota,1.879699248,1.606487148,3.033445683,1.338693372,5.780783617,2.563226247,3.086664028,4.613807245,0,2.628752332,26.53155892
audi,infiniti,2.288343264,,volvo,2.318295739,3.344116104,4.355716878,1.42162128,2.436997015,2.097185112,2.413929561,1.435406699,2.628752332,0,22.45202072
audi,lexus,2.203182375,,Grand Total,21.10685534,19.68288964,24.06486228,13.34422489,24.09514468,23.16210509,21.74560331,20.4883264,26.53155892,22.45202072,216.6735913
audi,honda,2.015893421,,,,,,,,,,,,,
audi,toyota,1.606487148,,,acura,audi,benz,bmw,honda,infiniti,lexus,nissan,toyota,volvo,
audi,nissan,1.189217759,,acura,0,0.427772021,0.476712329,0.796097561,0.308129032,0.296326531,0.430188679,0.44,0.532,0.431351351,
benz,toyota,3.033445683,,audi,0.427772021,0,0.326013072,0.613273408,0.496057971,0.436997375,0.453888889,0.840888889,0.622476191,0.29903268,
bmw,benz,1.999420458,,benz,0.476712329,0.326013072,0,0.500144927,0.427481481,0.417738095,0.324117647,0.590740741,0.32965812,0.229583333,
bmw,lexus,1.807828395,,bmw,0.796097561,0.613273408,0.500144927,0,0.765446465,0.626895238,0.553149847,1.01178744,0.74699705,0.703422222,
bmw,audi,1.630594098,,honda,0.308129032,0.496057971,0.427481481,0.765446465,0,0.493928205,0.517945206,0.331666667,0.172986928,0.410341085,
bmw,infiniti,1.595162859,,infiniti,0.296326531,0.436997375,0.417738095,0.626895238,0.493928205,0,0.310675676,0.277291667,0.390133333,0.47682963,
bmw,volvo,1.42162128,,lexus,0.430188679,0.453888889,0.324117647,0.553149847,0.517945206,0.310675676,0,0.597142857,0.323974359,0.414262295,
bmw,toyota,1.338693372,,nissan,0.44,0.840888889,0.590740741,1.01178744,0.331666667,0.277291667,0.597142857,0,0.216740741,0.696666666,
bmw,honda,1.306427093,,toyota,0.532,0.622476191,0.32965812,0.74699705,0.172986928,0.390133333,0.323974359,0.216740741,0,0.380408602,
bmw,acura,1.256127451,,volvo,0.431351351,0.29903268,0.229583333,0.703422222,0.410341085,0.47682963,0.414262295,0.696666666,0.380408602,0,
bmw,nissan,0.988349885,,,,,,,,,,,,,
honda,toyota,5.780783617,,,,,,,,,,,,,
honda,nissan,3.015075377,,,,,,,,,,,,,
honda,volvo,2.436997015,,,,,,,,,,,,,
honda,benz,2.33928262,,,,,,,,,,,,,
infiniti,nissan,3.606311044,,,,,,,,,,,,,
infiniti,toyota,2.563226247,,,,,,,,,,,,,
infiniti,benz,2.3938444,,,,,,,,,,,,,
infiniti,volvo,2.097185112,,,,,,,,,,,,,
infiniti,honda,2.024585739,,,,,,,,,,,,,
lexus,infiniti,3.218790779,,,,,,,,,,,,,
lexus,toyota,3.086664028,,,,,,,,,,,,,
lexus,benz,3.085299456,,,,,,,,,,,,,
lexus,volvo,2.413929561,,,,,,,,,,,,,
lexus,honda,1.930706162,,,,,,,,,,,,,
lexus,nissan,1.674641148,,,,,,,,,,,,,
nissan,toyota,4.613807245,,,,,,,,,,,,,
nissan,benz,1.692789969,,,,,,,,,,,,,
volvo,benz,4.355716878,,,,,,,,,,,,,
volvo,toyota,2.628752332,,,,,,,,,,,,,
volvo,nissan,1.435406699,,,,,,,,,,,,,
infiniti,acura,3.374655647,,,,,,,,,,,,,
honda,acura,3.245393635,,,,,,,,,,,,,
lexus,acura,2.324561404,,,,,,,,,,,,,
volvo,acura,2.318295739,,,,,,,,,,,,,
nissan,acura,2.272727273,,,,,,,,,,,,,
benz,acura,2.097701149,,,,,,,,,,,,,
toyota,acura,1.879699248,,,,,,,,,,,,,
volvo,audi,3.344116104,,,,,,,,,,,,,
benz,audi,3.067361668,,,,,,,,,,,,,
acura,audi,2.337693798,,,,,,,,,,,,,
infiniti,audi,2.288343264,,,,,,,,,,,,,
lexus,audi,2.203182375,,,,,,,,,,,,,
honda,audi,2.015893421,,,,,,,,,,,,,
toyota,audi,1.606487148,,,,,,,,,,,,,
nissan,audi,1.189217759,,,,,,,,,,,,,
toyota,benz,3.033445683,,,,,,,,,,,,,
benz,bmw,1.999420458,,,,,,,,,,,,,
lexus,bmw,1.807828395,,,,,,,,,,,,,
audi,bmw,1.630594098,,,,,,,,,,,,,
infiniti,bmw,1.595162859,,,,,,,,,,,,,
volvo,bmw,1.42162128,,,,,,,,,,,,,
toyota,bmw,1.338693372,,,,,,,,,,,,,
honda,bmw,1.306427093,,,,,,,,,,,,,
acura,bmw,1.256127451,,,,,,,,,,,,,
nissan,bmw,0.988349885,,,,,,,,,,,,,
toyota,honda,5.780783617,,,,,,,,,,,,,
nissan,honda,3.015075377,,,,,,,,,,,,,
volvo,honda,2.436997015,,,,,,,,,,,,,
benz,honda,2.33928262,,,,,,,,,,,,,
nissan,infiniti,3.606311044,,,,,,,,,,,,,
toyota,infiniti,2.563226247,,,,,,,,,,,,,
benz,infiniti,2.3938444,,,,,,,,,,,,,
volvo,infiniti,2.097185112,,,,,,,,,,,,,
honda,infiniti,2.024585739,,,,,,,,,,,,,
infiniti,lexus,3.218790779,,,,,,,,,,,,,
toyota,lexus,3.086664028,,,,,,,,,,,,,
benz,lexus,3.085299456,,,,,,,,,,,,,
volvo,lexus,2.413929561,,,,,,,,,,,,,
honda,lexus,1.930706162,,,,,,,,,,,,,
nissan,lexus,1.674641148,,,,,,,,,,,,,
toyota,nissan,4.613807245,,,,,,,,,,,,,
benz,nissan,1.692789969,,,,,,,,,,,,,
benz,volvo,4.355716878,,,,,,,,,,,,,
toyota,volvo,2.628752332,,,,,,,,,,,,,
nissan,volvo,1.435406699,,,,,,,,,,,,,
acura,acura,0,,,,,,,,,,,,,
audi,audi,0,,,,,,,,,,,,,
benz,benz,0,,,,,,,,,,,,,
bmw,bmw,0,,,,,,,,,,,,,
honda,honda,0,,,,,,,,,,,,,
infiniti,infiniti,0,,,,,,,,,,,,,
lexus,lexus,0,,,,,,,,,,,,,
nissan,nissan,0,,,,,,,,,,,,,
toyota,toyota,0,,,,,,,,,,,,,
volvo,volvo,0,,,,,,,,,,,,,